+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                             ;
+---------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                         ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+---------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; SE|comb_76                                                                                                                                        ; 26    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SE                                                                                                                                                ; 25    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; gk0                                                                                                                                               ; 34    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; flash                                                                                                                                             ; 8     ; 3              ; 1            ; 3              ; 61     ; 3               ; 3             ; 3               ; 8     ; 0              ; 0            ; 0                ; 0                 ;
; dead_state|comb_3                                                                                                                                 ; 53    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; dead_state|PS|score2|fr0                                                                                                                          ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; dead_state|PS|score2                                                                                                                              ; 50    ; 45             ; 6            ; 45             ; 26     ; 45              ; 45            ; 45              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; dead_state|PS|score1|fr0                                                                                                                          ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; dead_state|PS|score1                                                                                                                              ; 50    ; 46             ; 5            ; 46             ; 26     ; 46              ; 46            ; 46              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; dead_state|PS|colon|fr0                                                                                                                           ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; dead_state|PS|colon                                                                                                                               ; 50    ; 53             ; 5            ; 53             ; 26     ; 53              ; 53            ; 53              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; dead_state|PS|kid                                                                                                                                 ; 42    ; 29             ; 3            ; 29             ; 26     ; 29              ; 29            ; 29              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; dead_state|PS                                                                                                                                     ; 24    ; 0              ; 0            ; 0              ; 26     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; dead_state|GO                                                                                                                                     ; 20    ; 0              ; 0            ; 0              ; 26     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; dead_state                                                                                                                                        ; 29    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; finals|letters                                                                                                                                    ; 20    ; 3              ; 0            ; 3              ; 26     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; finals|comb_3                                                                                                                                     ; 53    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; finals|scores                                                                                                                                     ; 24    ; 0              ; 0            ; 0              ; 26     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; finals                                                                                                                                            ; 28    ; 0              ; 0            ; 0              ; 26     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; second_stage|address_selection                                                                                                                    ; 209   ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; second_stage|allball0|b4                                                                                                                          ; 93    ; 56             ; 0            ; 56             ; 28     ; 56              ; 56            ; 56              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; second_stage|allball0|b3                                                                                                                          ; 93    ; 56             ; 0            ; 56             ; 28     ; 56              ; 56            ; 56              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; second_stage|allball0|b2                                                                                                                          ; 93    ; 56             ; 0            ; 56             ; 28     ; 56              ; 56            ; 56              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; second_stage|allball0|b1                                                                                                                          ; 93    ; 56             ; 0            ; 56             ; 28     ; 56              ; 56            ; 56              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; second_stage|allball0|b0                                                                                                                          ; 93    ; 56             ; 0            ; 56             ; 28     ; 56              ; 56            ; 56              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; second_stage|allball0                                                                                                                             ; 63    ; 24             ; 0            ; 24             ; 27     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; second_stage|redbomb0|cp0                                                                                                                         ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; second_stage|redbomb0                                                                                                                             ; 63    ; 24             ; 0            ; 24             ; 28     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; second_stage|save0                                                                                                                                ; 62    ; 26             ; 0            ; 26             ; 28     ; 26              ; 26            ; 26              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; second_stage|comb_172|bl0                                                                                                                         ; 40    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; second_stage|comb_172                                                                                                                             ; 63    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; second_stage|bullets|bullet_1                                                                                                                     ; 45    ; 24             ; 0            ; 24             ; 46     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; second_stage|bullets                                                                                                                              ; 45    ; 0              ; 0            ; 0              ; 46     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; second_stage|walls|Wall_4                                                                                                                         ; 100   ; 40             ; 0            ; 40             ; 49     ; 40              ; 40            ; 40              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; second_stage|walls|Wall_3                                                                                                                         ; 100   ; 40             ; 0            ; 40             ; 49     ; 40              ; 40            ; 40              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; second_stage|walls|Wall_2                                                                                                                         ; 100   ; 40             ; 0            ; 40             ; 49     ; 40              ; 40            ; 40              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; second_stage|walls|Wall_1                                                                                                                         ; 100   ; 40             ; 0            ; 40             ; 49     ; 40              ; 40            ; 40              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; second_stage|walls                                                                                                                                ; 60    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; second_stage|char0|cha0                                                                                                                           ; 26    ; 8              ; 0            ; 8              ; 25     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
